track_name,track_id,track_duration,track_popularity,track_explicit,album_name,album_id,album_release_date,album_release_date_precision,album_total_tracks,album_type,artist_name,artist_id,played_at
Hidden Place,4c6LgotpKGB791EsNeu9gr,329360,44,False,Vespertine,4u3MPfHM60rFFULJebZIay,2001-08-27,day,12,album,Björk,7w29UYBi0qsHi5RTcv3lmA,2023-03-12T09:42:57.063Z
Please Do Not Go,4sxVoAf7uvxCSgTCRNDohP,255400,44,False,Violent Femmes,0Ojio25IPzIrw1rUmgrhrG,1983-01-01,day,12,album,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,2023-03-12T09:47:13.271Z
Selfless,2t0wwvR15fc3K1ey8OiOaN,222093,68,False,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN,2020-04-10,day,9,album,The Strokes,0epOFNiUfyON9EYx7Tpr6V,2023-03-12T10:08:22.758Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:14:54.344Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:22:37.717Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:31:37.081Z
Irene,6z2HVggp7shFEz6Zrxkoz0,218000,33,False,Andorra,1qVjmAeHdqEeB2DuyvbTYz,2007-08-17,day,9,album,Caribou,4aEnNH9PuU1HF3TsZTru54,2023-03-12T16:26:57.919Z
Leave Me Alone - 2015 Remaster,0F0imGVd7KnvQPkBmVtPo9,281773,50,False,Power Corruption and Lies,6NTrwu1XJ56jBPx7HMksbZ,1983-05-02,day,8,album,New Order,0yNLKJebCb8Aueb54LYya3,2023-03-12T16:35:25.594Z
Leave Me Alone - 2015 Remaster,0F0imGVd7KnvQPkBmVtPo9,281773,50,False,Power Corruption and Lies,6NTrwu1XJ56jBPx7HMksbZ,1983-05-02,day,8,album,New Order,0yNLKJebCb8Aueb54LYya3,2023-03-12T16:41:34.642Z
Butterflies,19dObDGedr40x1UcAm15qz,195937,64,False,Quest For Fire,7tWP3OG5dWphctKg4NMACt,2023-02-17,day,15,album,Skrillex,5he5w2lnU9x7JFhnwcekXX,2023-03-12T16:44:59.055Z
I've Seen Footage,7nCONy10IHp7XD3oYZ0lcx,202853,56,True,The Money Store,1PQDjdBpHPikAodJqjzm6a,2012-04-23,day,13,album,Death Grips,5RADpgYLOuS2ZxDq7ggYYH,2023-03-12T16:58:55.524Z
Toxicity,0snQkGI5qnAmohLE7jTsTn,218933,79,False,Toxicity,6jWde94ln40epKIQCd8XUh,2001-09-04,day,15,album,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,2023-03-12T17:02:34.582Z
Bye Storm,1yEDpYd1glJgFu2gVmm4zm,220812,32,True,By the Time I Get to Phoenix,7L7oMPboBCeyGLJVsHSWM2,2021-09-15,day,11,album,Injury Reserve,3nf2EaHj8HikLNdaiW3v73,2023-03-12T17:06:15.794Z
Pruit Igoe,55R2Ke4RQYEFdbryAnKcW4,423973,35,False,Koyaanisqatsi,0I5Te5Oi0Cbes6nwEe4uFV,1983-01-01,day,6,album,Philip Glass,69lxxQvsfAIoQbB20bEPFC,2023-03-12T17:21:24.489Z
Live Well,2H30WL3exSctlDC9GyRbD4,249840,65,False,So Long Forever,6cmFNl8lllA6BGc7SKLy3y,2016-11-04,day,11,album,Palace,48vDIufGC8ujPuBiTxY8dm,2023-03-12T17:25:34.617Z
Elephant Woman,2mweWXUplavtY2YCANfmwO,289333,40,False,Misery Is a Butterfly,2IOkphZwsrRk1nWRkikEgK,2004-03-15,day,11,album,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,2023-03-12T17:35:07.108Z
"Microphone, Pt. 2",0BA5TR3LNpm7xOVisYJD3g,140698,13,False,Early Tapes 1996 - 1998,4MidlO3UE5TXZ7NK0Nloc8,2016-12-09,day,16,album,The Microphones,7Ht57YadlBXcFJDK3plmhO,2023-03-12T17:37:27.727Z
Slo-dancin',5rZ6UT3De5pRYhEU701vG8,121209,37,False,Haunt U Forever,0g2PJbscS69UolD4QyS3wp,2011,year,9,album,Ricky Eat Acid,4BO8wK4OAaFsi6PSzs366S,2023-03-12T17:39:30.151Z
Notion,0sTlGEld0h8kIPZaKDYUf4,195120,79,False,Notion,4Uf8BVznefnd2xZm2nRFUx,2021-12-02,day,1,single,The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,2023-03-12T17:42:45.181Z
Someday,56NkIxSZZiMpFP5ZNSxtnT,183573,68,False,Is This It,2yNaksHgeMQM9Quse463b5,2001-07-30,day,11,album,The Strokes,0epOFNiUfyON9EYx7Tpr6V,2023-03-12T17:50:14.997Z
Back in the 90's,5d4ERnrRRe9o4I7aFLFTvP,43613,50,False,BoJack Horseman (Music from the Netflix Original Series),1TCONwUgvvjqSYJFPUCUTW,2017-09-08,day,25,compilation,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,2023-03-12T17:51:10.846Z
Back in the 90's,5d4ERnrRRe9o4I7aFLFTvP,43613,50,False,BoJack Horseman (Music from the Netflix Original Series),1TCONwUgvvjqSYJFPUCUTW,2017-09-08,day,25,compilation,GROUPLOVE,3kVUvbeRdcrqQ3oHk5hPdx,2023-03-12T17:51:56.605Z
Risingson,6ggJ6MceyHGWtUg1KLp3M1,298826,49,False,Mezzanine,49MNmJhZQewjt06rpwp6QR,1998-01-01,day,11,album,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,2023-03-12T18:15:55.062Z
Smells Blood,6ZRxnIHvjN0qTVRwz3PLtO,109280,64,False,DEVILMAN crybaby (Original Soundtrack),05xPgo0O1tujgg6eDzIfxV,2018-01-10,day,48,album,Kensuke Ushio,4L0gz16xuM1as1OgYzh1SR,2023-03-12T18:51:48Z
Sleep,05JqOBN6XW4eFUVQlgR0I3,1397746,40,False,Lift Your Skinny Fists Like Antennas to Heaven,2rT82YYlV9UoxBYLIezkRq,2000-01-01,day,4,album,Godspeed You! Black Emperor,4svpOyfmQKuWpHLjgy4cdK,2023-03-12T23:11:54.352Z
