playlist_name,playlist_id,playlist_description,playlist_tracks,playlist_owner,playlist_owner_id,playlist_public,playlist_collaborative,playlist_images,date
2019 - 2 times listened,64J7ToC8HKNTainLhVaJaa,,371,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b2731ac2a14851f1d096e38ba364ab67616d0000b27378f12ad8740b61f9331de878ab67616d0000b273b7d74c7fa660999ad4ff0e8dab67616d0000b273d623688488865906052ef96b,2023-03-20 05:57:51.727120
2020 - 2 times listened,3cpluyiNo1sHdRfkzN9vW2,,1742,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b273235e53217a0c29051484b3a4ab67616d0000b2732d819f77524aa7db8f1ff63dab67616d0000b2736d1e48ce2fc00a9a960d763cab67616d0000b273cbb64bd416bb225456100bbc,2023-03-20 05:57:51.727120
2021 - 2 times listened,2de8YaDJFruyMQ0PQd3jsg,,2799,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b2735502a1f7028b90ff75d76f48ab67616d0000b273671f929173404ab1d707f09fab67616d0000b27397877b3c25f993373377631eab67616d0000b273a30b079745b8074edfca39e9,2023-03-20 05:57:51.727120
2022 - 2 times listened,5bkyKXqQdWq6w2psYKerfX,,2028,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b273032e395e4a79caf92cc924c9ab67616d0000b27335b601e70c8c36e0704c1219ab67616d0000b273589ce9a911c6e65b1f80c558ab67616d0000b2736da79ce4a0a2c682a41bf9bd,2023-03-20 05:57:51.727120
2019 - 5 times listened,7zLaADeJEzaJM97r1YbOvE,,439,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b2736ff59d18c018a2845758deedab67616d0000b2737896e55dcdbe1d81952fccf3ab67616d0000b27378f12ad8740b61f9331de878ab67616d0000b273d623688488865906052ef96b,2023-03-20 05:57:51.727120
2020 - 5 times listened,78sMowUccSiglwyTpopx7j,,1122,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b2732d819f77524aa7db8f1ff63dab67616d0000b273806c160566580d6335d1f16cab67616d0000b273b6ef2ebd34efb08cb76f6eecab67616d0000b273cbb64bd416bb225456100bbc,2023-03-20 05:57:51.727120
2021 - 5 times listened,0IMLpz1pXApfEtJwdnA1hS,,1159,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b273519a2c600a5fd9cafc45b10bab67616d0000b2735502a1f7028b90ff75d76f48ab67616d0000b273671f929173404ab1d707f09fab67616d0000b273a30b079745b8074edfca39e9,2023-03-20 05:57:51.727120
2022 - 5 times listened,1Nyz6UK0sPlYt8m6kzU1fd,,593,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b273032e395e4a79caf92cc924c9ab67616d0000b2733b67e4695d120ebfe9ca359aab67616d0000b273aaee83b44f1267a712bc91ffab67616d0000b273ffe0a3da07cf3df21fe4d79b,2023-03-20 05:57:51.727120
2019 - 10 times listened,3WujwT4VXQYhBlpZo8riEi,,195,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b2736ff59d18c018a2845758deedab67616d0000b27377fdcfda6535601aff081b6aab67616d0000b27378f12ad8740b61f9331de878ab67616d0000b273d623688488865906052ef96b,2023-03-20 05:57:51.727120
2020 - 10 times listened,0CsONlNzS8MvKenkpU7lhI,,808,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b273583ce93dc89d84218f233ea7ab67616d0000b273806c160566580d6335d1f16cab67616d0000b273b6ef2ebd34efb08cb76f6eecab67616d0000b273cbb64bd416bb225456100bbc,2023-03-20 05:57:51.727120
2021 - 10 times listened,5DExRXlZFSvWRtgl7eLic5,,645,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b2730f0e7900a102aaa70ed30d3eab67616d0000b273519a2c600a5fd9cafc45b10bab67616d0000b273630d2589e095184eed1e0b7aab67616d0000b273a30b079745b8074edfca39e9,2023-03-20 05:57:51.727120
2022 - 10 times listened,36cdjstvKxDGWSOZijkNSw,,292,Saket,rt47etgc6xpwhhhb8575rth83,True,False,https://mosaic.scdn.co/640/ab67616d0000b273032e395e4a79caf92cc924c9ab67616d0000b273a6dd9a81268761d323411303ab67616d0000b273d05acb9a8e578b963f3e59bfab67616d0000b273e49ebdf4486e26f6c154b5ec,2023-03-20 05:57:51.727120
Hehe,0D0rtEMQ9GqNIlZGuCVcFj,,2,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://i.scdn.co/image/ab67616d0000b2735ddbd61ea4a6dab213cc97af,2023-03-20 05:57:51.727120
Around New Year 2023,1hgMyztnjcVELLEMX4Zbdl,,50,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b27300c91ccec6800014b8513717ab67616d0000b2731fa318e90c9d4ddc6b480853ab67616d0000b273ca727fc0809fb501506ce413ab67616d0000b273f53fbb4abe27c792221e5c27,2023-03-20 05:57:51.727120
PH-1,0EzgfMFR7V9To1AGHtEyt5,,33,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://i.scdn.co/image/ab67706c0000bebbc0d7d385848d928ff77409a0,2023-03-20 05:57:51.727120
Whistle Songs,3uhatb3ldfKA3sE6ry9RWr,Músicas assobiadas e assobios musicados.,134,tomastoscanor,tomastoscanor,False,False,https://i.scdn.co/image/ab67706c0000bebbde33cf7bf3a7224b6ed85368,2023-03-20 05:57:51.727120
My Playlist #370,5uxPfyyHC3utPmoLW3EABV,,99,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b27309ab8e818b904e5e821cab88ab67616d0000b27338e3e61af3d154badd3b6dc0ab67616d0000b2736a154c13160b923b3c6b7ef9ab67616d0000b273e6cf503b2d0ff129803a3be7,2023-03-20 05:57:51.727120
Calm,4rbZID92D5hwu0VM5zHoQn,,2,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://i.scdn.co/image/ab67616d0000b2731983b0392600da352e8d26b4,2023-03-20 05:57:51.727120
Rational,5b1NPNuy6GjKrXwxKg2ATD,,3,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://i.scdn.co/image/ab67616d0000b27363e878a2cbc968d18ab11c9e,2023-03-20 05:57:51.727120
Perfect sadness,5rvoizbXI36aWRT1AMRxmN,,2,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://i.scdn.co/image/ab67616d0000b2731fa318e90c9d4ddc6b480853,2023-03-20 05:57:51.727120
My wrapped 22,7ekrx3s5joiHDkVBAgKTsP,,101,Saket,rt47etgc6xpwhhhb8575rth83,False,False,https://mosaic.scdn.co/640/ab67616d0000b27333646cf506b0471f33e33af2ab67616d0000b273375088b9d851e5735dcd1cd2ab67616d0000b273630d2589e095184eed1e0b7aab67616d0000b273e89fffbc825d52c018a2357e,2023-03-20 05:57:51.727120
